,Unnamed: 0,Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
0,9456,Christopher Graham,2006.0,,Retired,01/31/1967,"Beaumont, TX",Male,US Merchant Marine Academy; US Naval Postgraduate School,Electrical Engineering,Aviation Systems,Captain,US Navy (Retired),5,9896,10,66.9,"STS-127/128 (Endeavor/Discovery), ISS-46/47 (Soyuz)",05/30/1995,
1,9457,Dennis Hansen,1986.0,15.0,Retired,05/13/1952,"Cleveland, OH",Male,MIT,Mathematics,Astronomy,,US Air Force (Retired),4,669,6,29.3,"STS-38 (Atlantis), STS-51 (Discovery), STS-105/108 (Discovery/Endeavor)",,
2,9458,Charles Jones,1977.0,5.0,Management,06/08/1933,"Shanghai, China",Male,US Military Academy; US Air Force Institute of Technology,Engineering Management,Aerospace Science; Political Science,Major General,US Navy,4,26,0,0.3,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)",,STS-107 (Columbia)
3,9459,Spencer Fuller,2006.0,20.0,Retired,09/16/1968,"Cleveland, OH",Female,University of Washington,Physics,No Major,Lieutenant Colonel,US Air Force,4,66,7,38.3,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)",,
4,9460,Michael Kane,2003.0,19.0,Retired,07/26/1968,"Wilmington, DE",Female,Pennsylvania State University; Rutgers University,Aerospace Engineering,Aerospace Engineering,Major,US Marine Corps Reserves,4,2178,10,65.4,"STS-117 (Atlantis), STS-119 (Discovery)",,
5,9461,Kyle Ford,1969.0,7.0,Retired,05/26/1931,"Philadelphia, PA",Male,Yale University; University of Virginia,Engineering,Mechanical Engineering,,,2,696,0,0.0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)",,
6,9462,Rebecca Wilson,1987.0,9.0,Retired,12/26/1956,"Brooklyn, NY",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Engineering Sciences; Astronautics & Mathematics,Engineering Management,,,1,1212,8,53.1,"STS 61-B (Atlantis), STS-30 (Atlantis)",,
7,9463,Cheryl Alvarez,1963.0,5.0,Retired,11/30/1929,"Pasadena, CA",Male,University of Texas-Dallas,Engineering Physics,Applied Plasma Physics,,,4,198,6,29.5,STS-5 (Columbia),,
8,9464,Samuel Johnson,1984.0,15.0,Retired,02/08/1952,"Dallas, TX",Male,US Naval Academy; MIT,Engineering Mechanics,Aeronautical Engineering,,,1,421,0,0.4,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)",,
9,9465,Gloria Torres MD,1963.0,3.0,Retired,03/19/1934,"Buffalo, NY",Male,University of Illinois,,Physics,,,1,613,4,14.0,,,
10,9466,Patricia Harris,1995.0,17.0,Retired,04/19/1965,"Los Angeles, CA",Female,University of California-Santa Cruz; Dalhousie University,Electrical Engineering,Education,,,1,781,6,28.8,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)",,
11,9467,Frank Stevenson,1993.0,13.0,Retired,02/24/1959,"Cass City, MI",Male,University of Virginia; Stanford University,Psychology,Systems Management,Colonel,,1,5,0,0.0,Apollo 14,,
12,9468,Paul Larsen,1966.0,5.0,Retired,08/28/1932,"Quonset Point, RI",Male,US Air Force Academy; Ohio State University; University of Colorado,Physics & Astronomy,Business Management,,US Air Force (Retired),1,578,1,1.8,"STS-117 (Atlantis), STS-119 (Discovery), ISS-39/40 (Soyuz)",07/10/1993,
13,9469,Nicole Harrison,1987.0,15.0,Deceased,05/30/1957,"Buenos Aires, Argentina",Male,Texas Tech University; California State University,,Physics,Colonel,US Navy (Retired),2,1372,1,0.9,"STS-29 (Discovery), STS-40 (Columbia)",,
14,9470,Jeremy Davis,1975.0,5.0,Retired,03/18/1945,"New York, NY",Male,US Naval Academy; US Naval Postgraduate School,Mechanical Engineering,Physics,Lieutenant Colonel,US Navy,1,899,9,51.7,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)",,
15,9471,Miranda Martinez,1979.0,10.0,Retired,04/20/1954,"Amarillo, TX",Male,US Naval Academy; University of Michigan,Physics,Aeronautical Engineering,Captain,US Air Force (Retired),1,629,2,6.7,"STS-96 (Discovery), STS-107 (Columbia)",,
16,9472,Daniel Coleman,1987.0,17.0,Retired,11/23/1952,"Plattsburgh, NY",Male,US Naval Academy; US Naval Postgraduate School; University of Southern California,Mathematics & Physics,Aeronautical Systems,,,5,620,4,15.6,STS-89 (Endeavor),,
17,9473,John Harmon,1988.0,8.0,Retired,11/29/1955,"Indianapolis, IN",Male,University of Wisconsin,,Chemistry; Medicine,,,4,3006,0,0.3,"Mercury 9, Gemini 5",,
18,9474,Kelly Graves,1991.0,14.0,Retired,05/21/1960,"Minneapolis, MN",Male,US Naval Academy; University of Tennessee-Knoxville,Electrical Engineering,Astronautics,,US Air Force (Retired),2,1876,2,7.1,"STS-124 (Discovery), STS-132 (Atlantis)",,
19,9475,Shelby Jones,1980.0,9.0,Retired,11/26/1940,"Greenville, SC",Male,University of Colorado; US Naval Postgraduate School,Mathematics & Physics,Medicine,Colonel,,6,2028,7,36.9,"STS-28 (Columbia), STS-41 (Discovery), STS-50 (Columbia), STS-64 (Discovery)",05/31/1990,STS-107 (Columbia)
20,9476,James Hunter,,16.0,Retired,07/17/1950,"Pinehurst, NC",Male,US Air Force Academy; MIT,Electrical Engineering,Mechanical Engineering,,,2,86,3,6.5,STS-107 (Columbia),,
21,9477,Andrew Lewis,,4.0,Management,04/05/1934,"Marianna, FL",Male,California Polytechnic State University,Physical Science,Applied Physics,Colonel,US Air Force (Retired),1,924,8,46.8,"STS-2 (Columbia), STS-8 (Challenger)",,
22,9478,Connie Escobar,1987.0,11.0,Retired,06/29/1959,"Columbia, SC",Female,US Air Force Academy; MIT,Engineering Science,No Major,,US Navy (Retired),3,2220,0,0.7,"STS 41-B (Challenger), STS-31 (Discovery)",05/12/1995,
23,9479,Megan Hernandez,1994.0,14.0,Retired,01/27/1952,"Frankfurt, West Germany",Female,Auburn University; University of Virginia,Aerospace Engineering,Aviation Systems,,,2,2328,8,53.2,"ISS-6 (Soyuz), STS-126 (Endeavor), ISS-30/31 (Soyuz)",,STS-107 (Columbia)
24,9480,Joseph Rose,1975.0,9.0,Deceased,01/05/1941,"Parker’s Prairie, MN",Male,US Naval Academy; University of Maryland; US Naval Postgraduate School,Ocean Engineering,No Major,Captain,US Marine Corps (Retired),1,46,0,0.0,"Gemini 11, Apollo 12",,
25,9481,Jessica Carter,1987.0,13.0,Retired,05/10/1947,"Los Angeles, CA",Male,US Naval Academy; US Air Force Institute of Technology,Electrical Engineering,Aeronautical Engineering,Colonel,,2,557,2,4.1,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (Columbia)",,
26,9482,Samuel Miller,1963.0,3.0,Retired,05/21/1936,"Augusta, GA",Male,University of Rochester; California Institute of Technology,Electrical Engineering,No Major,Lieutenant General,US Air Force,1,9,0,0.0,"STS-2 (Columbia), STS 51-I (Discovery)",,
27,9483,Kyle Jordan,1977.0,6.0,Retired,04/10/1944,"Okemah, OK",Male,University of California at Los Angeles,Engineering Science,Public Health; Biochemistry; Medicine; Microbiology,Colonel,,3,1931,5,26.9,"Gemini 4, Apollo 1",,
28,9484,Karen Johnson,1994.0,18.0,Retired,02/27/1954,"St. Louis, MO",Male,University of Notre Dame,Earth & Planetary Science,International Relations; Aerospace Engineering; Astronautical Engineering,,US Air Force (Retired),4,536,3,9.7,,,
29,9485,Michael Mcintyre,2009.0,20.0,Retired,03/30/1977,"Flushing, NY",Male,US Military Academy; University of Michigan,Animal Science,Chemistry; Medicine,,,2,1392,0,0.0,ISS-40/41 (Soyuz),,
30,9486,Heather Jones,1996.0,17.0,Active,03/19/1960,"Akron, OH",Male,US Air Force Academy; Texas A&M University,Physics,Engineering Management,Colonel,,2,4771,7,33.7,"STS 41-D (Discovery), STS 51-D (Discovery), STS 61-B (Atlantis)",,
31,9487,Stephanie Burns,,,Retired,03/09/1954,"Killeen, TX",Female,Southeast Missouri State; University of Missouri,Engineering,No Major,,,3,519,1,2.2,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis), STS-111 (Endeavor)",,
32,9488,John Mullins,1983.0,14.0,Retired,12/18/1953,"Karnal, India",Female,Georgia Institute of Technology,Chemical Engineering,International Relations; Aerospace Engineering; Astronautical Engineering,,,3,1413,2,8.5,Apollo 17,,
33,9489,Jamie Hampton,1980.0,7.0,Retired,12/17/1947,"New York, NY",Female,University of Michigan,Mathematics & Physics,Medicine,,,1,539,1,3.8,STS 61-C (Columbia),,
