,Unnamed: 0,Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
0,0,Vincent Gonzalez,1996.0,,Retired,02/12/1956,"Binghamton, NY",Male,Georgia Institute of Technology,Physics & Mathematics,Mechanical Engineering,,US Air Force (Retired),3,256,6,28.3,"STS 41-B (Challenger), STS 51-L (Challenger)",07/13/1993,
1,1,Anthony Bradley,1998.0,15.0,Management,07/30/1956,"Miami, FL",Male,US Naval Academy; Columbia University,Psychology,Physics,Colonel,,1,3097,5,23.4,"STS-127 (Endeavor), ISS-34/35 (Soyuz)",,
2,2,Bradley Nicholson,1990.0,14.0,Retired,08/21/1951,"Sioux Falls, SD",Male,University of Washington; University of Houston,Aeronautical & Astronautical Engineering,Aviation Systems,Colonel,,3,258,0,0.0,"STS-8 (Challenger), STS 51-A (Discovery)",,
3,3,Christopher Griffith,1968.0,5.0,Management,01/25/1940,"Greenville, SC",Male,University of Oklahoma,Engineering,No Major,,,2,1166,5,22.3,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)",,STS-107 (Columbia)
4,4,Jacob Hampton,1965.0,5.0,Retired,04/13/1928,"Flint, MI",Male,University of Sydney; MIT,Chemistry,Mechanical Engineering,,,0,752,7,34.5,"STS-83 (Columbia), STS-94 (Columbia)",,
5,5,Erica Johnson,1976.0,6.0,Retired,08/16/1946,"Goosecreek, TX",Female,Florida State University; University of Texas,Aeronautical Engineering,Mechanical Engineering,Colonel,,1,96,7,37.8,STS-44 (Atlantis),,
6,6,Brian Collins,1969.0,5.0,Management,11/29/1946,"Quanah, TX",Male,Drexel University; University of Maryland,,No Major,Captain,US Navy,1,1790,10,67.0,"STS-5 (Columbia), STS 51-B (Challenger)",,
7,7,Mitchell Tanner,2003.0,,Retired,05/24/1961,"Madrid, Spain",Male,US Military Academy; Georgia Institute of Technology,Physics,Medicine,Brigadier General,US Naval Reserves (Retired),1,50,3,10.2,"STS-65 (Columbia), STS-74 (Atlantis), STS-83 (Columbia), STS-94 (Columbia), STS-101 (Atlantis)",,
8,8,David Kelley,1998.0,16.0,Retired,07/09/1954,"Shanghai, China",Male,University of California at Los Angeles,Ecological Science,Engineering Physics; Medicine; Medical Science,Commander,US Navy (Retired),1,91,0,0.0,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (Columbia), STS-82 (Discovery), STS-113 (Endeavor/Soyuz)",,
9,9,Leslie Moore,1982.0,,Retired,06/09/1949,"Longmont, CA",Male,Framingham State College; Bowie State College,Physics,Electrical Engineering,Lieutenant Commander,US Navy (Retired),3,343,0,0.3,"STS-2 (Columbia), STS 51-I (Discovery)",,STS 51-L (Challenger)
10,10,Alison Delgado,2008.0,20.0,Retired,09/19/1973,"Belleville, IL",Male,US Naval Academy; Florida Institute of Technology,Geosciences,Biometeorology,Colonel,,1,5819,3,9.0,"STS 51-D (Discovery), STS-34 (Atlantis)",,
11,11,Hayley Walker,1981.0,11.0,Management,04/15/1944,"Fort Knox, KY",Male,University of California-Berkeley; University of New Mexico,Aeronautical Engineering,Chemistry,Major,US Air Force (Retired),3,43,0,0.0,,,
12,12,Curtis Mora,,11.0,Deceased,01/21/1950,"St. Paul, MN",Male,California State University-Northridge; Georgia Institute of Technology,,Mechanical Engineering; Mechanical & Aerospace Engineering,,,1,1227,9,53.0,"STS-127 (Endeavor), ISS-34/35 (Soyuz)",06/19/2001,
13,13,Paul Winters,1992.0,11.0,Retired,10/31/1959,"Philadelphia, PA",Male,University of Texas,Mechanical Engineering,Geology,Colonel,US Navy (Retired),4,387,0,0.0,STS 51-F (Challenger),,
14,14,Brittany Orozco,2002.0,15.0,Retired,07/21/1961,"Hackensack, NJ",Male,State University of New York; Embry-Riddle Aeronautical University; University of Florida,,Aerospace Engineering; Aeronautical & Astronautical Engineering,Colonel,US Navy,1,1181,6,29.5,STS-118 (Endeavor),03/19/1999,
15,15,Kristina Mitchell,1985.0,15.0,Management,08/20/1952,"Detroit, MI",Male,Drexel University; Thomas Jefferson University,Mathematics & Physics,Engineering Management,,,3,67,0,0.2,"STS-119 (Discovery), STS-132 (Atlantis)",,
16,16,Jonathan Flores,1998.0,17.0,Retired,04/19/1959,"Sydney, Australia",Male,Southeastern Massachusetts University; Purdue University,Aerospace Engineering,Astronautical & Aeronautical Engineering,Colonel,US Air Force,3,1465,1,2.0,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (Discovery), ISS-12 (Soyuz)",,
17,17,Clifford Cooper,1987.0,10.0,Retired,09/02/1952,"St. Paul, MN",Male,University of Oklahoma; Stanford University,Physics,Mechanical Engineering; Mechanical & Aerospace Engineering,Captain,,4,2473,1,2.3,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endeavor)",04/03/1992,
18,18,Edward Harper,1988.0,10.0,Management,07/28/1953,"Valparaiso, IN",Male,US Air Force Academy; Purdue University,Aerospace Engineering,Physics,Captain,,2,69,0,0.0,"Gemini 7, Apollo 8",,
19,19,Daniel Morales,1972.0,10.0,Retired,02/24/1944,"Del Norte, CO",Male,California Institute of Technology; Harvard University,Engineering,Education,Captain,US Air Force,4,1807,6,31.8,STS-67 (Endeavor),,
20,20,Ronald Summers,1969.0,8.0,Retired,01/24/1942,"Ancon, Panama",Male,University of New Hampshire; University of Alabama-Birmingham; New York University,Engineering Mechanics,No Major,Captain,US Marine Corps (Retired),0,136,0,0.0,"STS-9 (Columbia), STS-35 (Columbia)",,
21,21,Shelly Martin,1993.0,18.0,Retired,08/08/1954,"St. Paul, MN",Male,US Air Force Academy,Electrical Engineering,No Major,,,3,2446,8,47.9,"Gemini 10, Apollo 11",,
22,22,Robert Mccarthy,2003.0,20.0,Retired,12/25/1963,"Hartford, CT",Male,US Naval Academy; University of Maryland; US Naval Postgraduate School,Physics & Engineering,Astronomy & Astrophysics,,,2,1726,9,52.5,STS 51-B (Challenger),,Apollo 1
